 purchaser price","8.46e-09","0.00e+00","8.46e-09","813B00"
813930,"Labor Unions and Similar Labor Organizations","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.40e-09","0.00e+00","7.40e-09","813B00"
813930,"Labor Unions and Similar Labor Organizations","HFC-32","kg/2021 USD, purchaser price","7.60e-07","0.00e+00","7.60e-07","813B00"
813930,"Labor Unions and Similar Labor Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","2.89e-09","0.00e+00","2.89e-09","813B00"
813930,"Labor Unions and Similar Labor Organizations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.27e-06","0.00e+00","1.27e-06","813B00"
813930,"Labor Unions and Similar Labor Organizations","HFC-125","kg/2021 USD, purchaser price","1.26e-06","0.00e+00","1.26e-06","813B00"
813930,"Labor Unions and Similar Labor Organizations","Methane","kg/2021 USD, purchaser price","5.79e-04","0.00e+00","5.79e-04","813B00"
813930,"Labor Unions and Similar Labor Organizations","HFC-134a","kg/2021 USD, purchaser price","3.22e-06","0.00e+00","3.22e-06","813B00"
813930,"Labor Unions and Similar Labor Organizations","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.53e-10","0.00e+00","4.53e-10","813B00"
813930,"Labor Unions and Similar Labor Organizations","Nitrous oxide","kg/2021 USD, purchaser price","2.24e-05","0.00e+00","2.24e-05","813B00"
813930,"Labor Unions and Similar Labor Organizations","HFC-143a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","813B00"
813930,"Labor Unions and Similar Labor Organizations","HFC-23","kg/2021 USD, purchaser price","4.56e-09","0.00e+00","4.56e-09","813B00"
813930,"Labor Unions and Similar Labor Organizations","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","813B00"
813940,"Political Organizations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.27e-06","0.00e+00","1.27e-06","813B00"
813940,"Political Organizations","Methane","kg/2021 USD, purchaser price","5.79e-04","0.00e+00","5.79e-04","813B00"
813940,"Political Organizations","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.53e-10","0.00e+00","4.53e-10","813B00"
813940,"Political Organizations","Nitrous oxide","kg/2021 USD, purchaser price","2.24e-05","0.00e+00","2.24e-05","813B00"
813940,"Political Organizations","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","813B00"
813940,"Political Organizations","Carbon dioxide","kg/2021 USD, purchaser price","1.03e-01","0.00e+00","1.03e-01","813B00"
813940,"Political Organizations","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-10","0.00e+00","1.47e-10","813B00"
813940,"Political Organizations","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.56e-08","0.00e+00","1.56e-08","813B00"
813940,"Political Organizations","HFC-236fa","kg/2021 USD, purchaser price","8.46e-09","0.00e+00","8.46e-09","813B00"
813940,"Political Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","2.89e-09","0.00e+00","2.89e-09","813B00"
813940,"Political Organizations","HFC-32","kg/2021 USD, purchaser price","7.60e-07","0.00e+00","7.60e-07","813B00"
813940,"Political Organizations","HFC-125","kg/2021 USD, purchaser price","1.26e-06","0.00e+00","1.26e-06","813B00"
813940,"Political Organizations","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.40e-09","0.00e+00","7.40e-09","813B00"
813940,"Political Organizations","HFC-134a","kg/2021 USD, purchaser price","3.22e-06","0.00e+00","3.22e-06","813B00"
813940,"Political Organizations","HFC-143a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","813B00"
813940,"Political Organizations","HFC-23","kg/2021 USD, purchaser price","4.56e-09","0.00e+00","4.56e-09","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Carbon dioxide","kg/2021 USD, purchaser price","1.03e-01","0.00e+00","1.03e-01","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.27e-06","0.00e+00","1.27e-06","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFC-236fa","kg/2021 USD, purchaser price","8.46e-09","0.00e+00","8.46e-09","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Methane","kg/2021 USD, purchaser price","5.79e-04","0.00e+00","5.79e-04","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-10","0.00e+00","1.47e-10","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFC-125","kg/2021 USD, purchaser price","1.26e-06","0.00e+00","1.26e-06","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.56e-08","0.00e+00","1.56e-08","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFC-134a","kg/2021 USD, purchaser price","3.22e-06","0.00e+00","3.22e-06","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFC-32","kg/2021 USD, purchaser price","7.60e-07","0.00e+00","7.60e-07","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.53e-10","0.00e+00","4.53e-10","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.40e-09","0.00e+00","7.40e-09","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Nitrous oxide","kg/2021 USD, purchaser price","2.24e-05","0.00e+00","2.24e-05","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Hexafluoroethane","kg/2021 USD, purchaser price","2.89e-09","0.00e+00","2.89e-09","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFC-143a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","HFC-23","kg/2021 USD, purchaser price","4.56e-09","0.00e+00","4.56e-09","813B00"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","813B00"
