l Clay Mining","Hexafluoroethane","kg/2021 USD, purchaser price","3.48e-09","1.49e-09","4.97e-09","2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.47e-10","9.00e-11","2.37e-10","2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","Methane","kg/2021 USD, purchaser price","1.68e-03","7.18e-04","2.40e-03","2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.32e-08","4.34e-09","1.76e-08","2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","Perfluoropropane","kg/2021 USD, purchaser price","1.72e-10","1.05e-10","2.77e-10","2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.18e-07","2.76e-07","3.94e-07","2123A0"
212392,"Phosphate Rock Mining","HFC-23","kg/2021 USD, purchaser price","1.65e-08","4.63e-09","2.11e-08","2123A0"
212392,"Phosphate Rock Mining","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.77e-08","6.95e-09","2.47e-08","2123A0"
212392,"Phosphate Rock Mining","Carbon dioxide","kg/2021 USD, purchaser price","4.30e-01","1.83e-01","6.13e-01","2123A0"
212392,"Phosphate Rock Mining","HFC-143a","kg/2021 USD, purchaser price","4.38e-08","1.02e-07","1.46e-07","2123A0"
212392,"Phosphate Rock Mining","Hexafluoroethane","kg/2021 USD, purchaser price","3.48e-09","1.49e-09","4.97e-09","2123A0"
212392,"Phosphate Rock Mining","HFC-236fa","kg/2021 USD, purchaser price","7.89e-10","1.84e-09","2.63e-09","2123A0"
212392,"Phosphate Rock Mining","Nitrous oxide","kg/2021 USD, purchaser price","3.87e-05","1.13e-05","4.99e-05","2123A0"
212392,"Phosphate Rock Mining","HFC-134a","kg/2021 USD, purchaser price","3.05e-07","7.01e-07","1.01e-06","2123A0"
212392,"Phosphate Rock Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.18e-07","2.76e-07","3.94e-07","2123A0"
212392,"Phosphate Rock Mining","Perfluoropropane","kg/2021 USD, purchaser price","1.72e-10","1.05e-10","2.77e-10","2123A0"
212392,"Phosphate Rock Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.47e-10","9.00e-11","2.37e-10","2123A0"
212392,"Phosphate Rock Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.28e-10","3.24e-10","8.52e-10","2123A0"
212392,"Phosphate Rock Mining","HFC-125","kg/2021 USD, purchaser price","1.17e-07","2.74e-07","3.91e-07","2123A0"
212392,"Phosphate Rock Mining","HFC-32","kg/2021 USD, purchaser price","7.09e-08","1.65e-07","2.36e-07","2123A0"
212392,"Phosphate Rock Mining","Methane","kg/2021 USD, purchaser price","1.68e-03","7.18e-04","2.40e-03","2123A0"
212392,"Phosphate Rock Mining","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.32e-08","4.34e-09","1.76e-08","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.77e-08","6.95e-09","2.47e-08","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","Carbon dioxide","kg/2021 USD, purchaser price","4.30e-01","1.83e-01","6.13e-01","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","Hexafluoroethane","kg/2021 USD, purchaser price","3.48e-09","1.49e-09","4.97e-09","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","HFC-236fa","kg/2021 USD, purchaser price","7.89e-10","1.84e-09","2.63e-09","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","Nitrous oxide","kg/2021 USD, purchaser price","3.87e-05","1.13e-05","4.99e-05","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","HFC-134a","kg/2021 USD, purchaser price","3.05e-07","7.01e-07","1.01e-06","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.18e-07","2.76e-07","3.94e-07","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","Perfluoropropane","kg/2021 USD, purchaser price","1.72e-10","1.05e-10","2.77e-10","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","HFC-23","kg/2021 USD, purchaser price","1.65e-08","4.63e-09","2.11e-08","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.28e-10","3.24e-10","8.52e-10","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","HFC-125","kg/2021 USD, purchaser price","1.17e-07","2.74e-07","3.91e-07","2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","HFC-32","kg/2021 USD, purchaser price",
